"subject","condition_num","time_bin","condition","fix","total_fix"
"11788555",-0.5,-100,"unrelated",11,33
"11788555",-0.5,0,"unrelated",9,28
"11788555",-0.5,100,"unrelated",8,34
"11788555",-0.5,200,"unrelated",4,41
"11788555",-0.5,300,"unrelated",5,36
"11788555",-0.5,400,"unrelated",1,33
"11788555",-0.5,500,"unrelated",0,31
"11788555",-0.5,600,"unrelated",0,34
"11788555",-0.5,700,"unrelated",3,35
"11788555",-0.5,800,"unrelated",4,34
"11788555",-0.5,900,"unrelated",0,34
"11788555",-0.5,1000,"unrelated",1,25
"11788555",-0.5,1100,"unrelated",1,16
"11788555",-0.5,1200,"unrelated",0,15
"11788555",-0.5,1300,"unrelated",0,12
"11788555",-0.5,1400,"unrelated",0,10
"11788555",-0.5,1500,"unrelated",1,8
"11788555",-0.5,1600,"unrelated",1,7
"11788555",-0.5,1700,"unrelated",0,6
"11788555",-0.5,1800,"unrelated",0,3
"11788555",-0.5,1900,"unrelated",0,3
"11788555",0.5,-100,"cohort",9,33
"11788555",0.5,0,"cohort",2,28
"11788555",0.5,100,"cohort",8,34
"11788555",0.5,200,"cohort",17,41
"11788555",0.5,300,"cohort",13,36
"11788555",0.5,400,"cohort",14,33
"11788555",0.5,500,"cohort",10,31
"11788555",0.5,600,"cohort",5,34
"11788555",0.5,700,"cohort",4,35
"11788555",0.5,800,"cohort",4,34
"11788555",0.5,900,"cohort",4,34
"11788555",0.5,1000,"cohort",3,25
"11788555",0.5,1100,"cohort",0,16
"11788555",0.5,1200,"cohort",0,15
"11788555",0.5,1300,"cohort",2,12
"11788555",0.5,1400,"cohort",4,10
"11788555",0.5,1500,"cohort",0,8
"11788555",0.5,1600,"cohort",0,7
"11788555",0.5,1700,"cohort",4,6
"11788555",0.5,1800,"cohort",1,3
"11788555",0.5,1900,"cohort",0,3
"11788682",-0.5,-100,"unrelated",28,108
"11788682",-0.5,0,"unrelated",16,100
"11788682",-0.5,100,"unrelated",22,103
"11788682",-0.5,200,"unrelated",26,109
"11788682",-0.5,300,"unrelated",17,110
"11788682",-0.5,400,"unrelated",13,106
"11788682",-0.5,500,"unrelated",11,105
"11788682",-0.5,600,"unrelated",12,91
"11788682",-0.5,700,"unrelated",9,66
"11788682",-0.5,800,"unrelated",9,58
"11788682",-0.5,900,"unrelated",5,38
"11788682",-0.5,1000,"unrelated",5,30
"11788682",-0.5,1100,"unrelated",3,30
"11788682",-0.5,1200,"unrelated",0,26
"11788682",-0.5,1300,"unrelated",0,17
"11788682",-0.5,1400,"unrelated",0,11
"11788682",-0.5,1500,"unrelated",0,8
"11788682",-0.5,1600,"unrelated",0,7
"11788682",-0.5,1700,"unrelated",0,2
"11788682",-0.5,1800,"unrelated",0,3
"11788682",-0.5,1900,"unrelated",0,3
"11788682",0.5,-100,"cohort",34,108
"11788682",0.5,0,"cohort",28,100
"11788682",0.5,100,"cohort",31,103
"11788682",0.5,200,"cohort",29,109
"11788682",0.5,300,"cohort",28,110
"11788682",0.5,400,"cohort",29,106
"11788682",0.5,500,"cohort",29,105
"11788682",0.5,600,"cohort",22,91
"11788682",0.5,700,"cohort",15,66
"11788682",0.5,800,"cohort",7,58
"11788682",0.5,900,"cohort",3,38
"11788682",0.5,1000,"cohort",4,30
"11788682",0.5,1100,"cohort",3,30
"11788682",0.5,1200,"cohort",3,26
"11788682",0.5,1300,"cohort",4,17
"11788682",0.5,1400,"cohort",4,11
"11788682",0.5,1500,"cohort",2,8
"11788682",0.5,1600,"cohort",0,7
"11788682",0.5,1700,"cohort",0,2
"11788682",0.5,1800,"cohort",0,3
"11788682",0.5,1900,"cohort",0,3
"11788824",-0.5,-100,"unrelated",17,60
"11788824",-0.5,0,"unrelated",18,60
"11788824",-0.5,100,"unrelated",18,63
"11788824",-0.5,200,"unrelated",16,51
"11788824",-0.5,300,"unrelated",21,64
"11788824",-0.5,400,"unrelated",19,57
"11788824",-0.5,500,"unrelated",22,59
"11788824",-0.5,600,"unrelated",16,62
"11788824",-0.5,700,"unrelated",11,54
"11788824",-0.5,800,"unrelated",8,59
"11788824",-0.5,900,"unrelated",12,57
"11788824",-0.5,1000,"unrelated",7,46
"11788824",-0.5,1100,"unrelated",7,42
